0.43, 31.3242, 0.00101201, 0, -0.00641672, -0.00938483, 13.1844, 99.9371, 0.0605674, 0.117128, 0.0740882
0.44, 31.3549, 0.000906625, 0, -0.00649311, -0.0096118, 13.4978, 99.9351, 0.063544, 0.116931, 0.0742151
0.45, 31.3856, 0.000801567, 0, -0.00656957, -0.00983893, 13.8115, 99.933, 0.0665948, 0.116734, 0.0743419
0.46, 31.4163, 0.000696834, 0, -0.00664609, -0.0100662, 14.1255, 99.931, 0.0697199, 0.116538, 0.0744686
0.47, 31.447, 0.000592427, 0, -0.00672267, -0.0102937, 14.4397, 99.9289, 0.0729195, 0.116343, 0.0745953
0.48, 31.4776, 0.000488342, 0, -0.00679931, -0.0105212, 14.7543, 99.9267, 0.0761938, 0.116149, 0.0747219
0.49, 31.5083, 0.00038458, 0, -0.00687602, -0.010749, 15.0693, 99.9246, 0.079543, 0.115955, 0.0748484
0.5, 31.5389, 0.000281138, 0, -0.00695278, -0.0109769, 15.3845, 99.9224, 0.0829672, 0.115762, 0.0749749
0.51, 31.5696, 0.000178017, 0, -0.00702961, -0.011205, 15.7, 99.9202, 0.0864667, 0.115569, 0.0751012
0.52, 31.6002, 7.52132e-05, 0, -0.0071065, -0.0114332, 16.0158, 99.918, 0.0900417, 0.115377, 0.0752275
0.53, 31.6308, -2.72731e-05, 0, -0.00718346, -0.0116615, 16.3319, 99.9157, 0.0936923, 0.115185, 0.0753537
0.54, 31.6615, -0.000129443, 0, -0.00726047, -0.01189, 16.6484, 99.9134, 0.0974187, 0.114994, 0.0754799
0.55, 31.6921, -0.000231299, 0, -0.00733754, -0.0121187, 16.9651, 99.9111, 0.101221, 0.114804, 0.0756059
0.56, 31.7227, -0.000332841, 0, -0.00741467, -0.0123475, 17.2821, 99.9088, 0.1051, 0.114614, 0.0757319
0.57, 31.7533, -0.000434071, 0, -0.00749187, -0.0125765, 17.5995, 99.9064, 0.109055, 0.114425, 0.0758578
0.58, 31.7839, -0.00053499, 0, -0.00756912, -0.0128056, 17.9171, 99.904, 0.113086, 0.114236, 0.0759837
0.59, 31.8145, -0.0006356, 0, -0.00764644, -0.0130349, 18.2351, 99.9016, 0.117195, 0.114048, 0.0761094
