1.22,  9.56681,  -0.805142,  1023.22
1.23,  9.56649,  -0.806264,  1022.99
1.24,  9.56618,  -0.807385,  1022.76
1.25,  9.56586,  -0.808504,  1022.53
1.26,  9.56555,  -0.809622,  1022.3
1.27,  9.56523,  -0.810739,  1022.07
1.28,  9.56491,  -0.811855,  1021.84
1.29,  9.5646,  -0.812969,  1021.61
1.3,  9.56429,  -0.814082,  1021.38
1.31,  9.56397,  -0.815195,  1021.15
1.32,  9.56366,  -0.816305,  1020.92
1.33,  9.56335,  -0.817415,  1020.68
1.34,  9.56303,  -0.818523,  1020.45
1.35,  9.56272,  -0.819631,  1020.22
1.36,  9.56241,  -0.820736,  1019.99
1.37,  9.5621,  -0.821841,  1019.75
1.38,  9.56179,  -0.822944,  1019.52
1.39,  9.56148,  -0.824046,  1019.29
1.4,  9.56117,  -0.825147,  1019.05
1.41,  9.56086,  -0.826247,  1018.82
1.42,  9.56055,  -0.827345,  1018.58
1.43,  9.56024,  -0.828442,  1018.35
1.44,  9.55994,  -0.829538,  1018.11
1.45,  9.55963,  -0.830632,  1017.88
1.46,  9.55932,  -0.831725,  1017.64
1.47,  9.55902,  -0.832817,  1017.4
1.48,  9.55871,  -0.833908,  1017.17
1.49,  9.55841,  -0.834997,  1016.93
1.5,  9.5581,  -0.836085,  1016.69
1.51,  9.5578,  -0.837171,  1016.46
1.52,  9.55749,  -0.838256,  1016.22
1.53,  9.55719,  -0.83934,  1015.98
1.54,  9.55689,  -0.840423,  1015.74
1.55,  9.55659,  -0.841504,  1015.5
1.56,  9.55629,  -0.842584,  1015.26
1.57,  9.55598,  -0.843662,  1015.02
1.58,  9.55568,  -0.844739,  1014.79
1.59,  9.55538,  -0.845815,  1014.55
1.6,  9.55508,  -0.846889,  1014.3
1.61,  9.55479,  -0.847962,  1014.06
1.62,  9.55449,  -0.849034,  1013.82
1.63,  9.55419,  -0.850104,  1013.58
1.64,  9.55389,  -0.851173,  1013.34
1.65,  9.55359,  -0.85224,  1013.1
1.66,  9.5533,  -0.853306,  1012.86
1.67,  9.553,  -0.854371,  1012.61
1.68,  9.55271,  -0.855434,  1012.37
1.69,  9.55241,  -0.856496,  1012.13
1.7,  9.55212,  -0.857556,  1011.89
1.71,  9.55182,  -0.858615,  1011.64
1.72,  9.55153,  -0.859672,  1011.4
1.73,  9.55124,  -0.860728,  1011.15
1.74,  9.55095,  -0.861783,  1010.91
1.75,  9.55065,  -0.862836,  1010.66
1.76,  9.55036,  -0.863888,  1010.42
1.77,  9.55007,  -0.864938,  1010.17
1.78,  9.54978,  -0.865987,  1009.93
1.79,  9.54949,  -0.867034,  1009.68
1.8,  9.5492,  -0.86808,  1009.44
1.81,  9.54892,  -0.869124,  1009.19
1.82,  9.54863,  -0.870167,  1008.94
1.83,  9.54834,  -0.871208,  1008.69
1.84,  9.54805,  -0.872248,  1008.45
1.85,  9.54777,  -0.873287,  1008.2
1.86,  9.54748,  -0.874324,  1007.95
1.87,  9.5472,  -0.875359,  1007.7
1.88,  9.54691,  -0.876393,  1007.45
1.89,  9.54663,  -0.877425,  1007.2
1.9,  9.54634,  -0.878456,  1006.96
1.91,  9.54606,  -0.879485,  1006.71
1.92,  9.54578,  -0.880513,  1006.46
1.93,  9.5455,  -0.881539,  1006.21
1.94,  9.54522,  -0.882564,  1005.95
1.95,  9.54494,  -0.883587,  1005.7
1.96,  9.54466,  -0.884608,  1005.45
1.97,  9.54438,  -0.885628,  1005.2
1.98,  9.5441,  -0.886647,  1004.95
1.99,  9.54382,  -0.887664,  1004.7
2,  9.54354,  -0.888679,  1004.44
2.01,  9.54327,  -0.889693,  1004.19
2.02,  9.54299,  -0.890705,  1003.94
2.03,  9.54271,  -0.891715,  1003.69
2.04,  9.54244,  -0.892724,  1003.43
2.05,  9.54216,  -0.893732,  1003.18
2.06,  9.54189,  -0.894738,  1002.92
2.07,  9.54161,  -0.895742,  1002.67
2.08,  9.54134,  -0.896744,  1002.41
2.09,  9.54107,  -0.897745,  1002.16
2.1,  9.5408,  -0.898745,  1001.9
2.11,  9.54053,  -0.899742,  1001.65
2.12,  9.54026,  -0.900738,  1001.39
2.13,  9.53999,  -0.901733,  1001.14
2.14,  9.53972,  -0.902726,  1000.88
2.15,  9.53945,  -0.903717,  1000.62
2.16,  9.53918,  -0.904706,  1000.36
2.17,  9.53891,  -0.905694,  1000.11
2.18,  9.53864,  -0.90668,  999.849
2.19,  9.53838,  -0.907665,  999.591
2.2,  9.53811,  -0.908648,  999.332
2.21,  9.53785,  -0.909629,  999.073
2.22,  9.53758,  -0.910609,  998.814
2.23,  9.53732,  -0.911587,  998.555
2.24,  9.53706,  -0.912563,  998.295
2.25,  9.53679,  -0.913537,  998.035
2.26,  9.53653,  -0.91451,  997.775
2.27,  9.53627,  -0.915481,  997.514
2.28,  9.53601,  -0.916451,  997.253
2.29,  9.53575,  -0.917418,  996.992
2.3,  9.53549,  -0.918384,  996.73
2.31,  9.53523,  -0.919349,  996.468
2.32,  9.53497,  -0.920311,  996.206
2.33,  9.53471,  -0.921272,  995.944
2.34,  9.53446,  -0.922231,  995.681
2.35,  9.5342,  -0.923189,  995.418
2.36,  9.53394,  -0.924144,  995.155
2.37,  9.53369,  -0.925098,  994.891
2.38,  9.53343,  -0.92605,  994.627
2.39,  9.53318,  -0.927001,  994.363
2.4,  9.53293,  -0.927949,  994.098
2.41,  9.53267,  -0.928896,  993.833
2.42,  9.53242,  -0.929842,  993.568
2.43,  9.53217,  -0.930785,  993.303
2.44,  9.53192,  -0.931727,  993.037
2.45,  9.53167,  -0.932666,  992.771
2.46,  9.53142,  -0.933605,  992.505
2.47,  9.53117,  -0.934541,  992.238
2.48,  9.53092,  -0.935475,  991.971
2.49,  9.53068,  -0.936408,  991.704
2.5,  9.53043,  -0.937339,  991.436
2.51,  9.53018,  -0.938268,  991.168
2.52,  9.52994,  -0.939195,  990.9
2.53,  9.52969,  -0.940121,  990.632
2.54,  9.52945,  -0.941045,  990.363
2.55,  9.5292,  -0.941966,  990.094
2.56,  9.52896,  -0.942887,  989.825
2.57,  9.52872,  -0.943805,  989.555
2.58,  9.52848,  -0.944721,  989.285
2.59,  9.52824,  -0.945636,  989.015
2.6,  9.528,  -0.946548,  988.744
2.61,  9.52776,  -0.947459,  988.473
2.62,  9.52752,  -0.948368,  988.202
2.63,  9.52728,  -0.949276,  987.931
2.64,  9.52704,  -0.950181,  987.659
2.65,  9.5268,  -0.951084,  987.387
2.66,  9.52657,  -0.951986,  987.114
2.67,  9.52633,  -0.952886,  986.842
2.68,  9.5261,  -0.953784,  986.569
2.69,  9.52586,  -0.95468,  986.296
2.7,  9.52563,  -0.955574,  986.022
2.71,  9.5254,  -0.956466,  985.748
2.72,  9.52516,  -0.957356,  985.474
2.73,  9.52493,  -0.958245,  985.199
2.74,  9.5247,  -0.959132,  984.925
2.75,  9.52447,  -0.960016,  984.65
2.76,  9.52424,  -0.960899,  984.374
2.77,  9.52401,  -0.96178,  984.099
2.78,  9.52379,  -0.962659,  983.823
2.79,  9.52356,  -0.963536,  983.547
2.8,  9.52333,  -0.964411,  983.27
2.81,  9.52311,  -0.965284,  982.993
2.82,  9.52288,  -0.966156,  982.716
2.83,  9.52266,  -0.967025,  982.439
2.84,  9.52243,  -0.967892,  982.161
2.85,  9.52221,  -0.968758,  981.883
2.86,  9.52199,  -0.969621,  981.604
2.87,  9.52176,  -0.970483,  981.326
2.88,  9.52154,  -0.971343,  981.047
2.89,  9.52132,  -0.9722,  980.768
2.9,  9.5211,  -0.973056,  980.488
2.91,  9.52088,  -0.97391,  980.208
2.92,  9.52066,  -0.974762,  979.928
2.93,  9.52045,  -0.975612,  979.648
2.94,  9.52023,  -0.976459,  979.367
2.95,  9.52001,  -0.977305,  979.086
2.96,  9.5198,  -0.978149,  978.805
2.97,  9.51958,  -0.978991,  978.523
2.98,  9.51937,  -0.979831,  978.241
2.99,  9.51916,  -0.980669,  977.959
3,  9.51894,  -0.981505,  977.677
3.01,  9.51873,  -0.982339,  977.394
3.02,  9.51852,  -0.983171,  977.111
3.03,  9.51831,  -0.984001,  976.827
3.04,  9.5181,  -0.984829,  976.544
3.05,  9.51789,  -0.985655,  976.26
3.06,  9.51768,  -0.986479,  975.976
