0.24,  30.7398,  0.0904355,  99.9707,  571.938,  176.142,  125.896,  -67.3604,  3.95487,  0.926578,  8.40675,  9.34084,  -0,  -0,  40.2766,  0.275955,  -0,  410.997,  1.40113,  -644.502,  -0,  -42.5271
0.25,  30.7706,  0.0905262,  99.9692,  573.085,  176.318,  126.149,  -67.4956,  3.9586,  0.927507,  8.41518,  9.3502,  -0,  -0,  40.3574,  0.275987,  -0,  411.409,  1.40253,  -645.796,  -0,  -42.6124
0.26,  30.8014,  0.0906168,  99.9676,  574.234,  176.495,  126.402,  -67.6308,  3.96232,  0.928436,  8.42361,  9.35957,  -0,  -0,  40.4382,  0.27602,  -0,  411.821,  1.40394,  -647.09,  -0,  -42.6978
0.27,  30.8322,  0.0907075,  99.966,  575.383,  176.671,  126.655,  -67.7662,  3.96604,  0.929365,  8.43204,  9.36893,  -0,  -0,  40.5192,  0.276053,  -0,  412.233,  1.40534,  -648.385,  -0,  -42.7833
0.28,  30.863,  0.0907981,  99.9644,  576.533,  176.848,  126.908,  -67.9017,  3.96976,  0.930294,  8.44046,  9.37829,  -0,  -0,  40.6002,  0.276085,  -0,  412.645,  1.40674,  -649.681,  -0,  -42.8688
0.29,  30.8938,  0.0908887,  99.9627,  577.684,  177.024,  127.161,  -68.0372,  3.97348,  0.931222,  8.44889,  9.38765,  -0,  -0,  40.6813,  0.276119,  -0,  413.057,  1.40815,  -650.978,  -0,  -42.9544
0.3,  30.9246,  0.0909793,  99.9611,  578.837,  177.201,  127.415,  -68.1729,  3.97719,  0.93215,  8.45731,  9.39701,  -0,  -0,  40.7624,  0.276152,  -0,  413.468,  1.40955,  -652.277,  -0,  -43.0401
0.31,  30.9554,  0.0910698,  99.9594,  579.99,  177.377,  127.669,  -68.3087,  3.98091,  0.933078,  8.46573,  9.40637,  -0,  -0,  40.8436,  0.276186,  -0,  413.88,  1.41095,  -653.576,  -0,  -43.1258
0.32,  30.9862,  0.0911603,  99.9577,  581.143,  177.554,  127.923,  -68.4446,  3.98463,  0.934006,  8.47415,  9.41572,  -0,  -0,  40.9248,  0.276219,  -0,  414.292,  1.41236,  -654.876,  -0,  -43.2116
0.33,  31.0169,  0.0912509,  99.9559,  582.298,  177.73,  128.177,  -68.5806,  3.98835,  0.934934,  8.48256,  9.42507,  -0,  -0,  41.0062,  0.276254,  -0,  414.703,  1.41376,  -656.178,  -0,  -43.2974
0.34,  31.0477,  0.0913414,  99.9542,  583.454,  177.906,  128.431,  -68.7167,  3.99206,  0.935861,  8.49098,  9.43442,  -0,  -0,  41.0875,  0.276288,  -0,  415.114,  1.41516,  -657.48,  -0,  -43.3834
0.35,  31.0785,  0.0914318,  99.9524,  584.61,  178.082,  128.686,  -68.853,  3.99578,  0.936789,  8.49939,  9.44377,  -0,  -0,  41.169,  0.276322,  -0,  415.526,  1.41656,  -658.783,  -0,  -43.4694
0.36,  31.1092,  0.0915223,  99.9505,  585.768,  178.259,  128.94,  -68.9893,  3.9995,  0.937716,  8.5078,  9.45311,  -0,  -0,  41.2505,  0.276357,  -0,  415.937,  1.41797,  -660.088,  -0,  -43.5554
0.37,  31.1399,  0.0916127,  99.9487,  586.926,  178.435,  129.195,  -69.1257,  4.00321,  0.938642,  8.51621,  9.46245,  -0,  -0,  41.3321,  0.276392,  -0,  416.348,  1.41937,  -661.393,  -0,  -43.6416
0.38,  31.1707,  0.0917031,  99.9468,  588.085,  178.611,  129.451,  -69.2622,  4.00692,  0.939569,  8.52462,  9.4718,  -0,  -0,  41.4137,  0.276427,  -0,  416.759,  1.42077,  -662.699,  -0,  -43.7278
0.39,  31.2014,  0.0917935,  99.9449,  589.246,  178.787,  129.706,  -69.3989,  4.01064,  0.940495,  8.53302,  9.48114,  -0,  -0,  41.4954,  0.276463,  -0,  417.17,  1.42217,  -664.006,  -0,  -43.814
0.4,  31.2321,  0.0918839,  99.943,  590.407,  178.963,  129.962,  -69.5356,  4.01435,  0.941422,  8.54142,  9.49047,  -0,  -0,  41.5772,  0.276499,  -0,  417.581,  1.42357,  -665.315,  -0,  -43.9004
0.41,  31.2628,  0.0919743,  99.9411,  591.569,  179.139,  130.217,  -69.6725,  4.01806,  0.942348,  8.54983,  9.49981,  -0,  -0,  41.659,  0.276534,  -0,  417.992,  1.42497,  -666.624,  -0,  -43.9868
0.42,  31.2935,  0.0920646,  99.9391,  592.731,  179.315,  130.473,  -69.8094,  4.02178,  0.943273,  8.55823,  9.50914,  -0,  -0,  41.7409,  0.276571,  -0,  418.402,  1.42637,  -667.934,  -0,  -44.0732
0.43,  31.3242,  0.0921549,  99.9371,  593.895,  179.491,  130.729,  -69.9465,  4.02549,  0.944199,  8.56662,  9.51847,  -0,  -0,  41.8228,  0.276607,  -0,  418.813,  1.42777,  -669.246,  -0,  -44.1597
0.44,  31.3549,  0.0922452,  99.9351,  595.06,  179.667,  130.986,  -70.0836,  4.0292,  0.945124,  8.57502,  9.5278,  -0,  -0,  41.9048,  0.276644,  -0,  419.223,  1.42917,  -670.558,  -0,  -44.2463
0.45,  31.3856,  0.0923355,  99.933,  596.225,  179.843,  131.242,  -70.2209,  4.03291,  0.946049,  8.58341,  9.53713,  -0,  -0,  41.9869,  0.27668,  -0,  419.634,  1.43057,  -671.871,  -0,  -44.333
0.46,  31.4163,  0.0924257,  99.931,  597.391,  180.019,  131.499,  -70.3582,  4.03662,  0.946974,  8.59181,  9.54645,  -0,  -0,  42.069,  0.276717,  -0,  420.044,  1.43197,  -673.186,  -0,  -44.4197
0.47,  31.447,  0.092516,  99.9289,  598.558,  180.195,  131.756,  -70.4957,  4.04033,  0.947899,  8.6002,  9.55577,  -0,  -0,  42.1512,  0.276755,  -0,  420.454,  1.43337,  -674.501,  -0,  -44.5065
0.48,  31.4776,  0.0926062,  99.9267,  599.726,  180.37,  132.013,  -70.6333,  4.04403,  0.948824,  8.60858,  9.56509,  -0,  -0,  42.2335,  0.276792,  -0,  420.864,  1.43476,  -675.817,  -0,  -44.5933
0.49,  31.5083,  0.0926964,  99.9246,  600.895,  180.546,  132.27,  -70.7709,  4.04774,  0.949748,  8.61697,  9.57441,  -0,  -0,  42.3158,  0.27683,  -0,  421.274,  1.43616,  -677.134,  -0,  -44.6803
0.5,  31.5389,  0.0927865,  99.9224,  602.065,  180.722,  132.528,  -70.9087,  4.05145,  0.950672,  8.62536,  9.58373,  -0,  -0,  42.3982,  0.276868,  -0,  421.684,  1.43756,  -678.453,  -0,  -44.7672
0.51,  31.5696,  0.0928767,  99.9202,  603.236,  180.897,  132.786,  -71.0466,  4.05516,  0.951596,  8.63374,  9.59304,  -0,  -0,  42.4806,  0.276906,  -0,  422.094,  1.43896,  -679.772,  -0,  -44.8543
0.52,  31.6002,  0.0929668,  99.918,  604.407,  181.073,  133.043,  -71.1846,  4.05886,  0.95252,  8.64212,  9.60235,  -0,  -0,  42.5631,  0.276944,  -0,  422.504,  1.44035,  -681.092,  -0,  -44.9414
0.53,  31.6308,  0.0930569,  99.9157,  605.58,  181.249,  133.301,  -71.3226,  4.06257,  0.953443,  8.6505,  9.61166,  -0,  -0,  42.6457,  0.276983,  -0,  422.913,  1.44175,  -682.413,  -0,  -45.0286
0.54,  31.6615,  0.093147,  99.9134,  606.753,  181.424,  133.56,  -71.4608,  4.06627,  0.954367,  8.65887,  9.62097,  -0,  -0,  42.7283,  0.277021,  -0,  423.323,  1.44315,  -683.735,  -0,  -45.1158
0.55,  31.6921,  0.0932371,  99.9111,  607.927,  181.6,  133.818,  -71.5991,  4.06998,  0.95529,  8.66725,  9.63028,  -0,  -0,  42.811,  0.27706,  -0,  423.732,  1.44454,  -685.058,  -0,  -45.2031
0.56,  31.7227,  0.0933271,  99.9088,  609.102,  181.775,  134.077,  -71.7375,  4.07368,  0.956213,  8.67562,  9.63958,  -0,  -0,  42.8937,  0.2771,  -0,  424.142,  1.44594,  -686.382,  -0,  -45.2905
0.57,  31.7533,  0.0934171,  99.9064,  610.278,  181.95,  134.336,  -71.876,  4.07738,  0.957135,  8.68399,  9.64888,  -0,  -0,  42.9765,  0.277139,  -0,  424.551,  1.44733,  -687.707,  -0,  -45.3779
0.58,  31.7839,  0.0935071,  99.904,  611.455,  182.126,  134.595,  -72.0146,  4.08108,  0.958058,  8.69236,  9.65818,  -0,  -0,  43.0594,  0.277179,  -0,  424.96,  1.44873,  -689.033,  -0,  -45.4654
0.59,  31.8145,  0.0935971,  99.9016,  612.632,  182.301,  134.854,  -72.1532,  4.08479,  0.95898,  8.70073,  9.66748,  -0,  -0,  43.1423,  0.277218,  -0,  425.369,  1.45012,  -690.36,  -0,  -45.553
0.6,  31.845,  0.0936871,  99.8991,  613.811,  182.476,  135.113,  -72.292,  4.08849,  0.959902,  8.7091,  9.67677,  -0,  -0,  43.2253,  0.277258,  -0,  425.778,  1.45152,  -691.688,  -0,  -45.6406
0.61,  31.8756,  0.093777,  99.8967,  614.99,  182.652,  135.373,  -72.4309,  4.09219,  0.960824,  8.71746,  9.68607,  -0,  -0,  43.3084,  0.277299,  -0,  426.187,  1.45291,  -693.017,  -0,  -45.7283
0.62,  31.9062,  0.0938669,  99.8942,  616.17,  182.827,  135.633,  -72.5699,  4.09589,  0.961745,  8.72582,  9.69536,  -0,  -0,  43.3915,  0.277339,  -0,  426.596,  1.4543,  -694.347,  -0,  -45.816
0.63,  31.9367,  0.0939568,  99.8916,  617.351,  183.002,  135.893,  -72.709,  4.09958,  0.962667,  8.73418,  9.70464,  -0,  -0,  43.4746,  0.27738,  -0,  427.004,  1.4557,  -695.678,  -0,  -45.9038
0.64,  31.9673,  0.0940467,  99.8891,  618.533,  183.177,  136.153,  -72.8482,  4.10328,  0.963588,  8.74254,  9.71393,  -0,  -0,  43.5578,  0.277421,  -0,  427.413,  1.45709,  -697.01,  -0,  -45.9917
0.65,  31.9978,  0.0941365,  99.8865,  619.715,  183.352,  136.413,  -72.9875,  4.10698,  0.964509,  8.75089,  9.72321,  -0,  -0,  43.6411,  0.277462,  -0,  427.821,  1.45848,  -698.342,  -0,  -46.0797
0.66,  32.0284,  0.0942264,  99.8839,  620.899,  183.527,  136.674,  -73.1269,  4.11068,  0.965429,  8.75925,  9.7325,  -0,  -0,  43.7245,  0.277503,  -0,  428.23,  1.45987,  -699.676,  -0,  -46.1677
0.67,  32.0589,  0.0943162,  99.8813,  622.083,  183.702,  136.934,  -73.2664,  4.11437,  0.96635,  8.7676,  9.74178,  -0,  -0,  43.8079,  0.277544,  -0,  428.638,  1.46127,  -701.011,  -0,  -46.2557
0.68,  32.0894,  0.094406,  99.8786,  623.269,  183.877,  137.195,  -73.406,  4.11807,  0.96727,  8.77595,  9.75105,  -0,  -0,  43.8913,  0.277586,  -0,  429.046,  1.46266,  -702.346,  -0,  -46.3439
0.69,  32.1199,  0.0944957,  99.8759,  624.455,  184.052,  137.456,  -73.5456,  4.12176,  0.96819,  8.78429,  9.76033,  -0,  -0,  43.9749,  0.277628,  -0,  429.454,  1.46405,  -703.683,  -0,  -46.432
0.7,  32.1504,  0.0945855,  99.8732,  625.642,  184.227,  137.718,  -73.6854,  4.12546,  0.96911,  8.79264,  9.7696,  -0,  -0,  44.0585,  0.27767,  -0,  429.862,  1.46544,  -705.02,  -0,  -46.5203
0.71,  32.1809,  0.0946752,  99.8704,  626.829,  184.402,  137.979,  -73.8253,  4.12915,  0.97003,  8.80098,  9.77887,  -0,  -0,  44.1421,  0.277712,  -0,  430.27,  1.46683,  -706.359,  -0,  -46.6086
0.72,  32.2114,  0.0947649,  99.8677,  628.018,  184.576,  138.241,  -73.9653,  4.13284,  0.970949,  8.80933,  9.78814,  -0,  -0,  44.2258,  0.277755,  -0,  430.678,  1.46822,  -707.698,  -0,  -46.697
0.73,  32.2419,  0.0948546,  99.8649,  629.207,  184.751,  138.502,  -74.1054,  4.13654,  0.971868,  8.81766,  9.79741,  -0,  -0,  44.3096,  0.277797,  -0,  431.086,  1.46961,  -709.038,  -0,  -46.7854
